Days,Time,finalDate,finalTime
M,1700 - 1855,"May 01, 2023",1800 - 2050
M,1700 - 1945,"May 01, 2023",1800 - 2050
MTWR,1830 - 1920,"May 01, 2023",1800 - 2050
MWF,1830 - 1920,"May 01, 2023",1800 - 2050
MW,1830 - 1920,"May 01, 2023",1800 - 2050
WF,1830 - 1920,"May 01, 2023",1800 - 2050
MW,1830 - 1945,"May 01, 2023",1800 - 2050
WF,1830 - 1945,"May 01, 2023",1800 - 2050
MW,1830 - 2025,"May 01, 2023",1800 - 2050
WF,1830 - 2025,"May 01, 2023",1800 - 2050
M,1830 - 2025,"May 01, 2023",1800 - 2050
M,1830 - 2115,"May 01, 2023",1800 - 2050
T,1700 - 1855,"May 02, 2023",1800 - 2050
T,1700 - 1945,"May 02, 2023",1800 - 2050
TWRF,1830 - 1920,"May 02, 2023",1800 - 2050
TRF,1830 - 1920,"May 02, 2023",1800 - 2050
TR,1830 - 1920,"May 02, 2023",1800 - 2050
TR,1830 - 1945,"May 02, 2023",1800 - 2050
TR,1830 - 2025,"May 02, 2023",1800 - 2050
T,1830 - 2025,"May 02, 2023",1800 - 2050
T,1830 - 2115,"May 02, 2023",1800 - 2050
W,1700 - 1855,"May 03, 2023",1800 - 2050
W,1700 - 1945,"May 03, 2023",1800 - 2050
W,1830 - 2025,"May 03, 2023",1800 - 2050
W,1830 - 2115,"May 03, 2023",1800 - 2050
MTWR,2000 - 2050,"May 03, 2023",1800 - 2050
MWF,2000 - 2050,"May 03, 2023",1800 - 2050
MW,2000 - 2050,"May 03, 2023",1800 - 2050
WF,2000 - 2050,"May 03, 2023",1800 - 2050
MW,2000 - 2115,"May 03, 2023",1800 - 2050
WF,2000 - 2115,"May 03, 2023",1800 - 2050
R,1700 - 1855,"May 04, 2023",1800 - 2050
R,1700 - 1945,"May 04, 2023",1800 - 2050
R,1830 - 2025,"May 04, 2023",1800 - 2050
R,1830 - 2115,"May 04, 2023",1800 - 2050
TWRF,2000 - 2050,"May 04, 2023",1800 - 2050
TRF,2000 - 2050,"May 04, 2023",1800 - 2050
TR,2000 - 2050,"May 04, 2023",1800 - 2050
TR,2000 - 2115,"May 04, 2023",1800 - 2050
TWRF,1700 - 1750,"Apr 27, 2023",1800 - 2050
TRF,1700 - 1750,"Apr 27, 2023",1800 - 2050
TR,1700 - 1750,"Apr 27, 2023",1800 - 2050
TR,1700 - 1815,"Apr 27, 2023",1800 - 2050
TR,1700 - 1855,"Apr 27, 2023",1800 - 2050
MTWR,1700 - 1750,"Apr 28, 2023",1800 - 2050
MWF,1700 - 1750,"Apr 28, 2023",1800 - 2050
MW,1700 - 1750,"Apr 28, 2023",1800 - 2050
WF,1700 - 1750,"Apr 28, 2023",1800 - 2050
MW,1700 - 1815,"Apr 28, 2023",1800 - 2050
WF,1700 - 1815,"Apr 28, 2023",1800 - 2050
MW,1700 - 1855,"Apr 28, 2023",1800 - 2050
WF,1700 - 1855,"Apr 28, 2023",1800 - 2050
